"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"
"11"	1109756.33703996	1109756.33703996	1113598.16849224	1113598.16849224	1281173.44006126	1281173.44006126	1281173.44006126	1281173.44006126	115459.91995901	0	0	130354.478086319	139515.864752568	295523.844809378	131634.853333052	683690.58946237	1270300.44546453	1270300.44546453	1270300.44546453	1270300.44546453
"12"	1002610.61761713	1002610.61761713	1005014.67134901	1005014.67134901	1187385.40293719	1187385.40293719	1187385.40293719	1187385.40293719	14908.7436864369	130354.478086319	130354.478086319	0	221244.391844696	231703.03433341	255963.755759371	612379.976441812	1150702.433061	1150702.433061	1150702.433061	1150702.433061
"13"	1087594.03205608	1087594.03205608	1093985.6597921	1093985.6597921	1235935.29854276	1235935.29854276	1235935.29854276	1235935.29854276	209811.519683333	139515.864752568	139515.864752568	221244.391844696	0	428699.716516947	199228.176611347	817660.664301039	1272588.63142313	1272588.63142313	1272588.63142313	1272588.63142313
"14"	1105976.66027331	1105976.66027331	1104228.82444947	1104228.82444947	1318710.84516109	1318710.84516109	1318710.84516109	1318710.84516109	235669.290849183	295523.844809378	295523.844809378	231703.03433341	428699.716516947	0	355948.711805171	388993.197975156	1207322.54902373	1207322.54902373	1207322.54902373	1207322.54902373
"15"	1240201.02117751	1240201.02117751	1244332.72540092	1244332.72540092	1407372.75346666	1407372.75346666	1407372.75346666	1407372.75346666	241296.474759454	131634.853333052	131634.853333052	255963.755759371	199228.176611347	355948.711805171	0	725182.38220558	1401833.3705878	1401833.3705878	1401833.3705878	1401833.3705878
"16"	1248968.66314471	1248968.66314471	1240905.70557689	1240905.70557689	1492574.45675662	1492574.45675662	1492574.45675662	1492574.45675662	619027.467426502	683690.58946237	683690.58946237	612379.976441812	817660.664301039	388993.197975156	725182.38220558	0	1268204.12423764	1268204.12423764	1268204.12423764	1268204.12423764
"17"	269427.003190869	269427.003190869	250056.31948382	250056.31948382	433691.728159595	433691.728159595	433691.728159595	433691.728159595	1164506.70323285	1270300.44546453	1270300.44546453	1150702.433061	1272588.63142313	1207322.54902373	1401833.3705878	1268204.12423764	0	0	0	0
"18"	269427.003190869	269427.003190869	250056.31948382	250056.31948382	433691.728159595	433691.728159595	433691.728159595	433691.728159595	1164506.70323285	1270300.44546453	1270300.44546453	1150702.433061	1272588.63142313	1207322.54902373	1401833.3705878	1268204.12423764	0	0	0	0
"19"	269427.003190869	269427.003190869	250056.31948382	250056.31948382	433691.728159595	433691.728159595	433691.728159595	433691.728159595	1164506.70323285	1270300.44546453	1270300.44546453	1150702.433061	1272588.63142313	1207322.54902373	1401833.3705878	1268204.12423764	0	0	0	0
"20"	269427.003190869	269427.003190869	250056.31948382	250056.31948382	433691.728159595	433691.728159595	433691.728159595	433691.728159595	1164506.70323285	1270300.44546453	1270300.44546453	1150702.433061	1272588.63142313	1207322.54902373	1401833.3705878	1268204.12423764	0	0	0	0
